codice_comune_istat,codice_ipa,denominazione_ente,url
082038,c_e013,Comune di Giardinello,https://www.comune.giardinello.pa.it
082039,c_e055,Comune di Giuliana,https://www.comune.giuliana.pa.it
082040,c_E074,Comune di Godrano,https://www.comune.godrano.pa.it/
082041,c_e149,Comune di Gratteri,https://www.comune.gratteri.pa.it/hh/index.php?jvs=0&acc=1
082042,c_e337,Comune di Isnello,https://www.comune.isnello.pa.it
082043,c_e350,Comune di Isola delle Femmine,https://www.comune.isoladellefemmine.pa.it
082044,c_e459,Comune di Lascari,https://www.comune.lascari.pa.it
082045,c_e541,Comune di Lercara Friddi,https://www.comune.lercarafriddi.pa.it
082046,c_e957,Comune di Marineo,https://www.comune.marineo.pa.it
082047,c_f184,Comune di Mezzojuso,https://www.comune.mezzojuso.pa.it
082048,c_f246,Comune di Misilmeri,https://www.comune.misilmeri.pa.it
082049,c_f377,Comune di Monreale,https://www.comune.monreale.pa.it
082050,c_f544,Comune di Montelepre,https://www.comune.montelepre.pa.it
082051,c_f553,Comune di Montemaggiore Belsito,https://www.comune.montemaggiorebelsito.pa.it
082052,c_g263,Comune di Palazzo Adriano,https://www.comune.palazzoadriano.pa.it
082053,c_g273,Comune di Palermo,https://www.comune.palermo.it
082054,c_g348,Comune di Partinico,https://www.comune.partinico.pa.it
082055,c_g510,Comune di Petralia Soprana,https://www.comune.petraliasoprana.pa.it
082056,c_g511,Comune di Petralia Sottana,https://www.comune.petraliasottana.pa.it
082057,c_g543,Comune di Piana Degli Albanesi,https://www.comune.pianadeglialbanesi.pa.it/
082058,c_g792,Comune di Polizzi Generosa,https://www.comune.polizzi.pa.it/
082059,c_l519,Comune di Pollina,https://www.comune.pollina.pa.it
082060,c_h070,Comune di Prizzi,https://www.comune.prizzi.pa.it/
082061,c_h422,Comune di Roccamena,https://www.comune.roccamena.pa.it
082062,c_l837,Comune di Roccapalumba,https://www.comune.roccapalumba.pa.it
082063,c_h797,Comune di San Cipirello,https://www.comune.sancipirello.pa.it
082064,c_h933,Comune di San Giuseppe Jato,https://www.comune.sangiuseppejato.pa.it
082065,c_i028,Comune di San Mauro Castelverde,https://www.comune.sanmaurocastelverde.pa.it
082066,c_i174,Comune di Santa Cristina Gela,https://www.comune.santacristinagela.pa.it
082067,c_i188,Comune di Santa Flavia,https://www.comune.santaflavia.pa.it
082068,c_l534,Comune di Sciara,https://www.comune.sciara.pa.it
082069,c_i541,Comune di Sclafani Bagni,https://www.comune.sclafanibagni.pa.it
082070,c_l112,Comune di Termini Imerese,https://www.comuneterminiimerese.pa.it/
082071,c_l131,Comune di Terrasini,https://www.comune.terrasini.pa.it
082072,c_l282,Comune di Torretta,https://www.comune.torretta.pa.it
082073,c_l317,Comune di Trabia,https://www.comunetrabia.it
082074,c_l332,Comune di Trappeto,https://www.comune.trappeto.pa.it
082075,c_b9ow,Comune di Ustica,https://comune.ustica.pa.it
082076,c_l603,Comune di Valledolmo,https://www.comune.valledolmo.pa.it
082077,c_l740,Comune di Ventimiglia di Sicilia,https://www.comune.ventimigliadisicilia.pa.it
082078,cl837,Comune di Vicari,https://www.comune.vicari.pa.it
082079,c_l916,Comune di Villabate,https://www.comune.villabate.pa.it
082080,c_l951,Comune di Villafrati,https://comune.villafrati.pa.it
082081,c_i538,Comune di Scillato,https://www.comunescillato.pa.it
082082,c_m268,Comune di Blufi,https://www.comune.blufi.pa.it
083001,c_zboh,Comune di Alcara Li Fusi,https://www.comune.alcaralifusi.me.it
083002,c_a194,Comune di Ali',https://www.comune.ali.me.it
083003,c_a201,Comune di Ali' Terme,https://www.comune.aliterme.me.it
083004,c_a313,Comune di Antillo,https://www.comune.antillo.me.it
083005,c_a638,Comune di Barcellona Pozzo di Gotto,https://www.comune.barcellona-pozzo-di-gotto.me.it
083006,c_a698,Comune di Basico',https://www.comune.basico.me.it
083007,c_b198,Comune di Brolo,https://www.comune.brolo.me.it
083008,c_b660,Comune di Capizzi,https://www.comune.capizzi.me.it
083009,c_b666,Comune di Capo D'Orlando,https://www.comune.capodorlando.me.it
083010,c_b695,Comune di Capri Leone,https://www.comune.caprileone.me.it
083011,c_b804,Comune di Caronia,https://www.comune.caronia.me.it
083012,c_b918,Comune di Casalvecchio Siculo,https://www.comune.casalvecchiosiculo.me.it
083013,c_c094,Comune di Castel di Lucio,https://www.comune.casteldilucio.me.it
083014,c_c051,Comune di Castell'Umberto,https://www.comune.castellumberto.me.it
083015,c_c210,Comune di Castelmola,https://www.comune.castelmola.me.it
083016,c_c347,Comune di Castroreale,https://www.comune.castroreale.me.it
083017,c_c568,Comune di Cesaro',https://www.comune.cesaro.me.it
083018,c_c956,Comune di Condro',https://www.comune.condro.me.it
083019,c_d474,Comune di Falcone,https://www.comune.falcone.me.it/
083020,c_d569,Comune di Ficarra,https://www.comune.ficarra.me.it/
083021,c_d622,Comune di Fiumedinisi,https://www.comune.fiumedinisi.me.it/
083022,c_d635,Comune di Floresta,https://www.comune.floresta.me.it
083023,c_d661,Comune di Fondachelli Fantina,https://www.comune.fondachellifantina.me.it
083024,c_d733,Comune di Forza D'Agro',https://www.comune.forzadagro.me.it
083025,c_d765,Comune di Francavilla di Sicilia,https://www.comune.francavilladisicilia.me.it
083026,c_d793,Comune di Frazzano',https://www.comune.frazzano.me.it
083027,c_d824,Comune di Furci Siculo,https://www.comune.furcisiculo.me.it
083028,c_d825,Comune di Furnari,https://www.comune.furnari.me.it
083029,c_d844,Comune di Gaggi,https://www.comunegaggi.it/
083030,c_d861,Comune di Galati Mamertino,https://www.comune.galatimamertino.me.it
083031,c_d885,Comune di Gallodoro,https://www.comune.gallodoro.me.it
083032,c_e014,Comune di Giardini Naxos,https://www.comune.giardini-naxos.me.it
083033,c_e043,Comune di Gioiosa Marea,https://www.comune.gioiosamarea.me.it
083034,c_e142,Comune di Graniti,https://www.comune.graniti.me.it
083035,c_e233,Comune di Gualtieri Sicamino',https://www.comune.gualtieri.me.it
083036,c_e374,Comune di Itala,https://www.comune.itala.me.it
083037,c_e523,Comune di Leni,https://www.comune.leni.me.it/
083038,c_e555,Comune di Letojanni,https://www.comune.letojanni.me.it
083039,c_e571,Comune di Librizzi,https://www.comune.librizzi.me.it
083040,c_e594x,Comune di Limina,https://www.comune.limina.me.it
083041,c_e606,Comune di Lipari,https://www.comunelipari.it
083042,c_e674,Comune di Longi,https://www.comunelongi.it
083043,c_e855,Comune di Malfa,https://www.comune.malfa.me.it
083044,c_e869,Comune di Malvagna,https://www.comune.malvagna.me.it
083045,c_e876,Comune di Mandanici,https://www.comune.mandanici.me.it
083046,c_f066,Comune di Mazzarra' Sant'Andrea,https://www.comune.mazzarrasantandrea.me.it
083047,c_f147,Comune di Meri',https://www.comune.meri.me.it
083048,c_f158,Comune di Messina,https://www.comune.messina.it
083049,c_f206,Comune di Milazzo,https://www.comune.milazzo.me.it
083050,c_f210,Comune di Militello Rosmarino,https://www.comune.militellorosmarino.me.it
083051,c_f242,Comune di Mirto,https://www.comune.mirto.me.it
083052,c_f251,Comune di Mistretta,https://www.comune.mistretta.me.it
083053,c_f277,Comune di Moio Alcantara,https://www.comune.moioalcantara.me.it
083054,c_f359,Comune di Monforte San Giorgio,https://www.monfortesangiorgio.me.it
083055,c_f368,Comune di Mongiuffi Melia,https://www.comune.mongiuffimelia.me.it/
083056,c_f395,Comune di Montagnareale,https://www.comune.montagnareale.me.it
083057,c_f400,Comune di Montalbano Elicona,https://www.comune.montalbanoelicona.me.it
083058,c_f772,Comune di Motta Camastra,https://www.comune.mottacamastra.me.it
083059,c_f773,Comune di Motta d'Affermo,https://www.comune.mottadaffermo.me.it
083060,c_f848,Comune di Naso,https://www.comune.naso.me.it
083061,c_f901,Comune di Nizza di Sicilia,https://www.comune.nizzadisicilia.me.it
083062,c_f951,Comune di Novara di Sicilia,https://www.comunedinovaradisicilia.me.it
083063,c_g036,Comune di Oliveri,https://www.comune.oliveri.me.it
083064,c_g209,Comune di Pace del Mela,https://comune.pacedelmela.me.it
083065,c_g234,Comune di Pagliara,https://www.comune.pagliara.me.it
083066,c_g377,Comune di Patti,https://www.comune.patti.me.it
083067,c_g522,Comune di Pettineo,https://comune.pettineo.me.it
083068,c_g699,Comune di Piraino,https://www.comune.piraino.me.it
083069,c_h151,Comune di Raccuja,https://www.comune.raccuja.me.it
083070,c_h228,Comune di Reitano,https://www.comune.reitano.me.it/
083071,c_h405,Comune di Roccafiorita,https://www.comune.roccafiorita.me.it
083072,c_h418,Comune di Roccalumera,https://www.comune.roccalumera.me.it
083073,c_h380,Comune di Roccavaldina,https://www.comune.roccavaldina.me.it
083074,c_h455,Comune di Roccella Valdemone,https://www.comune.roccellavaldemone.me.it
083075,c_h479,Comune di Rodi' Milici,https://www.comune.rodimilici.me.it
083076,c_h519,Comune di Rometta,https://www.comune.rometta.me.it
083077,c_h842,Comune di San Filippo del Mela,https://www.comune.sanfilippodelmela.me.it
083078,c_h850,Comune di San Fratello,https://www.comune.sanfratello.me.it
083079,c_h982,Comune di San Marco d'Alunzio,https://www.comune.sanmarcodalunzio.me.it
083080,c_i084,Comune di San Pier Niceto,https://www.comune.sanpierniceto.me.it
083081,c_i086,Comune di San Piero Patti,https://www.comune.sanpieropatti.me.it
083082,c_i147,Comune di San Salvatore di Fitalia,https://comune.sansalvatoredifitalia.me.it
083083,c_i184,Comune di Santa Domenica Vittoria,https://www.comune.santadomenicavittoria.me.it
083084,c_i199,Comune di Sant'Agata di Militello,https://www.comune.santagatadimilitello.me.it
083085,C_I215,Comune di Sant'Alessio Siculo,https://www.comune.santalessiosiculo.me.it
083086,c_i220,Comune di Santa Lucia del Mela,https://www.comune.santaluciadelmela.me.it
083087,c_i254,Comune di Santa Marina Salina,http://www.comune.santa-marina-salina.me.it/
083088,c_i283,Comune di Sant'Angelo di Brolo,https://www.comune.santangelodibrolo.me.it
083089,c_i311,Comune di Santa Teresa di Riva,https://www.comune.santateresadiriva.me.it/
083090,c_i328,Comune di San Teodoro - Sicilia,https://www.comune.santeodoro.me.it
083091,c_i370,Comune di Santo Stefano di Camastra,https://www.santostefanodicamastra.eu
083092,c_i420,Comune di Saponara,https://comune.saponara.me.it
083093,c_i477,Comune di Savoca,https://www.comune.savoca.me.it
083094,c_i492,Comune di Scaletta Zanclea,https://comune.scalettazanclea.me.it
083095,c_i747,Comune di Sinagra,https://www.comunedisinagra.it
083096,c_i881,Comune di Spadafora,https://www.comune.spadafora.me.it
083097,c_l042,Comune di Taormina,https://www.comune.taormina.me.it
083098,c_l271,Comune di Torregrotta,https://www.comune.torregrotta.me.it
083099,c_l308,Comune di Tortorici,https://comune.tortorici.me.it
083100,c_l431,Comune di Tripi,https://www.comune.tripi.me.it
083101,c_l478,Comune di Tusa,https://www.comunetusa.gov.it
083102,c_l482,Comune di Ucria,https://www.comune.ucria.me.it
083103,c_l5618r,Comune di Valdina,https://comune.valdina.me.it
083104,c_l735,Comune di Venetico,https://www.comune.venetico.me.it/
083105,c_l950,Comune di Villafranca Tirrena,https://comune.villafrancatirrena.me.it/
083106,c_m210,Comune di Terme Vigliatore,https://www.comune.termevigliatore.me.it
083107,c_m211,Comune di Acquedolci,https://www.comunediacquedolci.it/
083108,c_m286,Comune di Torrenova,https://http//www.comune.torrenova.me.it
084001,c_a089,Comune di Agrigento,https://www.comune.agrigento.it
084002,c_a181,Comune di Alessandria della Rocca,https://www.comune.alessandriadellarocca.ag.it
084003,c_a351,Comune di Aragona,https://www.comune.aragona.ag.it
084004,c_a896,Comune di Bivona,https://www.comune.bivona.ag.it
084005,c_b275,Comune di Burgio,https://www.comune.burgio.ag.it
084006,c_b377,Comune di Calamonaci,https://www.comune.calamonaci.ag.it
084007,c_b427,Comune di Caltabellotta,https://www.comune.caltabellotta.ag.it
084008,c_b460,Comune di Camastra,https://www.comune.camastra.ag.it
084009,c_b486,Comune di Cammarata,https://www.comune.cammarata.ag.it
084010,c_b520,Comune di Campobello di Licata,https://www.comune.campobellodilicata.ag.it
084011,c_b602,Comune di Canicatti',https://www.comune.canicatti.ag.it
084012,c_c275,Comune di Casteltermini,https://www.comune.casteltermini.ag.it
084013,c_c341,Comune di Castrofilippo,https://www.comune.castrofilippo.ag.it
084014,c_c356,Comune di Cattolica Eraclea,https://www.comune.cattolicaeraclea.ag.it
084015,c_c668,Comune di Cianciana,https://www.comune.cianciana.ag.it/
084016,c_c928,Comune di Comitini,https://www.comune.comitini.ag.it
084017,c_d514,Comune di Favara,https://www.comune.favara.ag.it
084018,c_e209,Comune di Grotte,https://www.comunedigrotte.it
084019,c_e390,Comune di Joppolo Giancaxio,http://www.comune.joppologiancaxio.ag.it
084020,c_e431,Comune di Lampedusa e Linosa,https://www.comune.lampedusaelinosa.ag.it
084021,c_e573,Comune di Licata,https://www.comune.licata.ag.it
084022,c_e714,Comune di Lucca Sicula,https://www.comune.luccasicula.ag.it
084023,c_f126,Comune di Menfi,https://www.comune.menfi.ag.it
084024,c_f414,Comune di Montallegro,https://www.comune.montallegro.ag.it
084025,c_f655,Comune di Montevago,https://www.comune.montevago.ag.it
084026,c_f845,Comune di Naro,https://www.comune.naro.ag.it
084027,c_g282,Comune di Palma di Montechiaro,https://www.comune.palmadimontechiaro.ag.it
084028,c_f299,Comune di Porto Empedocle,https://www.comune.portoempedocle.ag.it
084029,c_h148,Comune di Racalmuto,https://www.comune.racalmuto.ag.it/
084030,c_h159,Comune di Raffadali,https://www.comune.raffadali.ag.it
084031,c_h194,Comune di Ravanusa,https://www.comune.ravanusa.ag.it
084032,c_h205,Comune di Realmonte,https://www.comune.realmonte.ag.it/
084033,c_h269,Comune di Ribera,https://www.comune.ribera.ag.it
084034,c_h743,Comune di Sambuca di Sicilia,https://www.comune.sambucadisicilia.ag.it
084035,c_h778,Comune di San Biagio Platani,https://www.comunesanbiagioplatani.it
084036,c_h914,Comune di San Giovanni Gemini,https://www.comune.sangiovannigemini.ag.it
084037,c_i185,Comune di Santa Elisabetta,https://www.comune.santaelisabetta.ag.it
084038,c_i224,Comune di Santa Margherita di Belice,https://www.comune.santamargheritadibelice.ag.it
084039,c_i290,Comune di Sant'Angelo Muxaro,https://www.comune.santangelomuxaro.ag.it
084040,c_i356,Comune di Santo Stefano Quisquina,https://www.comune.santostefanoquisquina.ag.it
084041,c_i533,Comune di Sciacca,https://www.comune.sciacca.ag.it
084042,c_i723,Comune di Siculiana,https://www.comune.siculiana.ag.it
084043,c_l944,Comune di Villafranca Sicula,https://comune.villafrancasicula.ag.it
085001,c_a049,Comune di Acquaviva Platani,https://www.comune.acquavivaplatani.cl.it
085002,c_a957,Comune di Bompensiere,https://www.comunebompensiere.it
085003,c_b302,Comune di Butera,https://www.comunedibutera.it
085004,c_b429,Comune di Caltanissetta,https://www.comune.caltanissetta.it
085005,c_b537,Comune di Campofranco,https://www.comune.campofranco.cl.it
085006,c_d267,Comune di Delia,https://www.comune.delia.cl.it
085007,c_d960,Comune di Gela,https://comune.gela.cl.it
085008,c_e953,Comune di Marianopoli,https://www.comune.marianopoli.cl.it
085009,c_f065,Comune di Mazzarino,https://www.comune.mazzarino.cl.it
085010,c_e618,Comune di Milena,https://www.comune.milena.cl.it
085011,c_f489,Comune di Montedoro,https://www.comune.montedoro.cl.it
085012,c_f830,Comune di Mussomeli,https://www.comune.mussomeli.cl.it
085013,c_f899,Comune di Niscemi,https://www.comune.niscemi.cl.it
085014,c_h245,Comune di Resuttano,https://www.comune.resuttano.cl.it
085015,c_h281,Comune di Riesi,https://www.comune.riesi.cl.it
085016,c_h792,Comune di San Cataldo,https://www.comune.san-cataldo.cl.it
085017,c_i169,Comune di Santa Caterina Villarmosa,https://www.comune.santacaterinavillarmosa.cl.it
085018,c_i644,Comune di Serradifalco,https://www.comune.serradifalco.cl.it/serradifalco/hh/index.php
085019,c_i824,Comune di Sommatino,https://www.comune.sommatino.cl.it
085020,c_l016,Comune di Sutera,https://www.comune.sutera.cl.it
085021,c_l609,Comune di Vallelunga Pratameno,https://www.comune.vallelunga.cl.it
085022,c_l959,Comune di Villalba,https://www.comune.villalba.cl.it
086001,c_a070,Comune di Agira,https://www.comune.agira.en.it
086002,c_a098,Comune di Aidone,https://www.comune.aidone.en.it
086003,c_a478,Comune di Assoro,https://www.comune.assoro.en.it
086004,c_a676,Comune di Barrafranca,https://www.comune.barrafranca.en.it
086005,c_b381,Comune di Calascibetta,https://www.comune.calascibetta.en.it
086006,c_c353,Comune di Catenanuova,https://www.comune.catenanuova.en.it
086007,c_c471,Comune di Centuripe,https://www.comune.centuripe.en.it
086008,c_c480,Comune di Cerami,https://www.comune.cerami.en.it
086009,c_c342,Comune di Enna,https://www.comune.enna.it
086010,c_d849,Comune di Gagliano Castelferrato,https://www.comunegaglianocastelferrato.en.it
086011,c_e536,Comune di Leonforte,https://www.comune.leonforte.en.it
086012,c_f892,Comune di Nicosia,https://www.comune.nicosia.en.it
086013,C_f900,Comune di Nissoria,https://www.comune.nissoria.en.it/
086014,c_g580,Comune di Piazza Armerina,https://www.comune.piazzaarmerina.en.it
086015,c_g624,Comune di Pietraperzia,https://www.comune.pietraperzia.en.it
086016,c_h221,Comune di Regalbuto,https://www.comune.regalbuto.en.it
086017,c_i891,Comune di Sperlinga,https://www.comune.sperlinga.en.it
086018,c_l448,Comune di Troina,https://www.comune.troina.en.it
086019,c_l583,Comune di Valguarnera Caropepe,https://www.comune.valguarnera.en.it
086020,c_m011,Comune di Villarosa,https://www.comune.villarosa.en.it
087001,c_a025,Comune di Aci Bonaccorsi,https://www.comune.acibonaccorsi.ct.it
087002,c_a026,Comune di Aci Castello,https://www.comune.acicastello.ct.it
087003,c_a027,Comune di Aci Catena,https://www.comune.acicatena.ct.it
087004,c_a028,Comune di Acireale,https://www.comune.acireale.ct.it
087005,c_a029,Comune di Aci Sant'Antonio,https://www.comune.acisantantonio.ct.it/
087006,c_a056,Comune di Adrano,https://www.comune.adrano.ct.it
087007,c_a766,Comune di Belpasso,https://www.comune.belpasso.ct.it
087008,c_a841,Comune di Biancavilla,https://www.comune.biancavilla.ct.it/
087009,c_b202,Comune di Bronte,https://www.comune.bronte.ct.it
087010,c_b384,Comune di Calatabiano,https://www.comune.calatabiano.ct.it
087011,c_b428,Comune di Caltagirone,https://www.comune.caltagirone.ct.it
087012,c_b561,Comune di Camporotondo Etneo,https://comune.camporotondoetneo.ct.it/
087013,c_c091,Comune di Castel di Iudica,https://www.comune.casteldiiudica.ct.it
087014,c_c297,Comune di Castiglione di Sicilia,https://www.comune.castiglionedisicilia.ct.it
087015,c_c351,Comune di Catania,https://www.comune.catania.it
087016,c_d623,Comune di Fiumefreddo di Sicilia,https://www.comune.fiumefreddo-di-sicilia.ct.it
087017,c_e017,Comune di Giarre,https://www.comune.giarre.ct.it
087018,c_e133,Comune di Grammichele,https://www.comune.grammichele.ct.it
087019,c_e156,Comune di Gravina di Catania,https://www.comune.gravina-di-catania.ct.it
087020,c_e578,Comune di Licodia Eubea,https://www.comune.licodiaeubea.ct.it
087021,c_e602,Comune di Linguaglossa,https://www.comune.linguaglossa.ct.it
087022,c_e854,Comune di Maletto,https://www.comune.maletto.ct.it
087023,c_f004,Comune di Mascali,https://www.comune.mascali.ct.it
087024,c_f005,Comune di Mascalucia,https://www.comune.mascalucia.ct.it
087025,c_f209,Comune di Militello in Val di Catania,https://comunemilitello.it
087026,c_f214,Comune di Milo,https://www.comune.milo.ct.it
087027,c_f217,Comune di Mineo,https://www.comune.mineo.ct.it/
087028,c_f231,Comune di Mirabella Imbaccari,https://www.comune.mirabellaimbaccari.ct.it/
087029,c_f250,Comune di Misterbianco,https://www.comune.misterbianco.ct.it
087030,c_f781,Comune di Motta Sant'Anastasia,https://www.comune.mottasantanastasia.ct.it
087031,c_f890,Comune di Nicolosi,https://www.comune.nicolosi.ct.it
087032,c_g253,Comune di Palagonia,https://www.comune.palagonia.ct.it
087033,c_g371,Comune di Paterno',https://www.comune.paterno.ct.it
087034,c_g402,Comune di Pedara,https://www.comune.pedara.ct.it
087035,c_g597,Comune di Piedimonte Etneo,https://www.comune.piedimonte-etneo.ct.it
087036,c_h154,Comune di Raddusa,https://www.comune.raddusa.ct.it
087037,c_h168,Comune di Ramacca,https://www.comune.ramacca.ct.it
087038,c_h175,Comune di Randazzo,https://www.comune.randazzo.ct.it
087039,c_h325,Comune di Riposto,https://www.comune.riposto.ct.it
087040,c_i035,Comune di San Cono,https://www.comune.sancono.ct.it
087041,c_h922,Comune di San Giovanni La Punta,https://www.comune.sangiovannilapunta.ct.it/
087042,c_h940,Comune di San Gregorio di Catania,https://www.comune.sangregoriodicatania.ct.it
087043,c_h805,Comune di San Michele di Ganzaria,https://www.comune.sanmichelediganzaria.ct.it
087044,c_i098,Comune di San Pietro Clarenza,https://www.comune.sanpietroclarenza.ct.it
087045,c_i202,Comune di Sant'Agata Li Battiati,https://www.comune.sant-agata-li-battiati.ct.it
087046,C_I216,Comune di Sant'Alfio,https://www.comune.santalfio.ct.it
087047,c_i240,Comune di Santa Maria di Licodia,https://www.comune.santamariadilicodia.ct.it
087048,c_i314,Comune di Santa Venerina,https://www.comune.santavenerina.ct.it
087049,c_i548,Comune di Scordia,https://www.comune.scordia.ct.it
087050,c_l355,Comune di Trecastagni,https://www.comune.trecastagni.ct.it
087051,c_l369,Comune di Tremestieri Etneo,https://www.comune.tremestieri.ct.it
087052,c_l658,Comune di Valverde CT,https://www.comune.valverde.ct.it
087053,c_l828,Comune di Viagrande,https://www.comune.viagrande.ct.it
087054,c_m100,Comune di Vizzini,https://www.comune.vizzini.ct.it
087055,c_m139,Comune di Zafferana Etnea,https://www.comune.zafferana-etnea.ct.it
087056,c_m271,Comune di Mazzarrone,https://www.comune.mazzarrone.ct.it
087057,c_m283,Comune di Maniace,https://www.comune.maniace.ct.it/
087058,c_m287,Comune di Ragalna,https://www.comune.ragalna.ct-egov.it/
088001,c_a014,Comune di Acate,https://www.comune.acate.rg.it
088002,c_c612,Comune di Chiaramonte Gulfi,https://www.chiaramontegulfi-rg.it/home.html
088003,C_C927,Comune di Comiso,https://www.comune.comiso.rg.it
088004,c_e016,Comune di Giarratana,https://www.comunegiarratana.it
088005,c_e366,Comune di Ispica,https://www.comune.ispica.rg.it
088006,c_f258,Comune di Modica,https://www.comunemodica.rg.it
088007,c_f610,Comune di Monterosso Almo,https://www.comune.monterossoalmo.rg.it
088008,c_g953,Comune di Pozzallo,https://www.comune.pozzallo.rg.it
088009,c_h163,Comune di Ragusa,https://www.comune.ragusa.it/
088010,c_i178,Comune di Santa Croce Camerina,https://www.comune.santa-croce-camerina.rg.it
088011,c_i535,Comune di Scicli,https://www.comune.scicli.rg.it
088012,c_m088,Comune di Vittoria,https://www.comunevittoria-rg.it
089001,c_a494,Comune di Augusta,https://www.comune.augusta.sr.it
089002,c_a522,Comune di Avola,https://www.comune.avola.sr.it
089003,c_b237,Comune di Buccheri,https://www.comunedibuccheri.it
089004,c_b287,Comune di Buscemi,https://www.comunedibuscemi.it
089005,c_b603,Comune di Canicattini Bagni,https://www.comune.canicattinibagni.sr.it
089006,c_b787,Comune di Carlentini,https://comune.carlentini.sr.it
089007,c_c006,Comune di Cassaro,https://www.comune.cassaro.sr.it
